date,load_mw,wind_generation_mw,solar_generation_mw,renewable_total_mw,shortfall_mw,irradiance_wm2,wind_speed_10m_ms,temperature_2m_c,surplus_mw,coverage_pct,scenario
2017-01-16,64848.583333333336,3748.929166666667,990.0562500000001,4738.985416666666,60109.597916666666,688.1874874919484,5.76021454471885,15.582639750288552,-60109.597916666666,7.307770151750938,best
2017-01-17,66549.125,4298.666666666667,1288.5187500000002,5587.185416666667,60961.93958333333,698.6736314968631,6.200747579512307,16.793771808283687,-60961.93958333333,8.39558058301543,best
2017-01-18,66764.91666666667,8061.895833333333,1277.3812500000001,9339.277083333332,57425.63958333334,689.7906936066591,6.085409658479623,16.090018902017174,-57425.63958333334,13.98830036733364,best
2017-01-19,66731.45833333333,6932.7375,2148.24375,9080.98125,57650.47708333333,713.8079611372472,6.010642671503248,15.905142091871129,-57650.47708333333,13.608246360568325,best
2017-01-20,65303.666666666664,5924.695833333333,2229.3,8153.995833333333,57149.67083333333,702.0982012616523,5.8000122808782395,16.52322655004583,-57149.67083333333,12.486275655782473,best
2017-01-21,56395.666666666664,4273.533333333334,2558.1375000000003,6831.670833333334,49563.995833333334,691.0046160419407,6.032460024627316,17.615160329953532,-49563.995833333334,12.11382227948956,best
2017-01-22,52545.125,2750.0416666666665,2665.4625,5415.504166666667,47129.620833333334,724.5927980615952,5.848203716160286,16.65118592289077,-47129.620833333334,10.30638744634572,best
2017-01-23,66278.25,2150.85,1740.2625,3891.1125,62387.1375,708.0245348379157,6.177720013519372,17.947575528809477,-62387.1375,5.870873929230178,best
2017-01-24,67232.41666666667,1699.4791666666667,579.31875,2278.797916666667,64953.61875,713.6881110812004,6.24057343495794,17.280021864794133,-64953.61875,3.389433296685999,best
2017-01-25,67025.375,3833.429166666667,996.8062500000001,4830.235416666666,62195.13958333334,743.2071475627272,6.541754156109657,16.89740828951432,-62195.13958333334,7.206577235362975,best
2017-01-26,66595.20833333333,12736.1,3177.3375000000005,15913.4375,50681.77083333333,728.2790687047599,5.97291155384253,17.584607044533723,-50681.77083333333,23.895769527962788,best
2017-01-27,65748.0,13773.066666666666,3860.2125,17633.279166666667,48114.72083333333,738.3100492607831,6.468901092947259,17.56124403184555,-48114.72083333333,26.819491340674496,best
2017-01-28,56382.5,11310.0,3710.5875000000005,15020.587500000001,41361.9125,729.1265747327558,6.439153907414835,18.07970901262016,-41361.9125,26.640513457189734,best
2017-01-29,52231.375,16518.341666666667,3029.175,19547.516666666666,32683.858333333334,747.5223316302573,6.373319607308338,18.076854966814942,-32683.858333333334,37.42485559046965,best
2017-01-30,65048.958333333336,18323.933333333334,1044.8437500000002,19368.777083333334,45680.18125,741.53537465825,6.645877560129972,18.379351977071096,-45680.18125,29.775691386295577,best
2017-01-31,64989.833333333336,6759.025000000001,678.54375,7437.56875,57552.26458333334,730.7155061290956,6.668786584224932,18.48545970876405,-57552.26458333334,11.444203452334852,best
2017-02-01,65305.625,11986.8125,1339.65,13326.4625,51979.1625,751.5673957506705,5.8654724535076825,18.27422390984375,-51979.1625,20.406301141746976,best
2017-02-02,64874.333333333336,13779.620833333334,2374.70625,16154.327083333334,48720.006250000006,754.3056586777587,6.868290610106784,19.305719623440677,-48720.006250000006,24.900952739398736,best
2017-02-03,63089.25,10185.229166666668,1362.375,11547.604166666668,51541.64583333333,777.2287456703572,6.773151759142016,18.904522606677315,-51541.64583333333,18.303600322823094,best
2017-02-04,54281.416666666664,11453.758333333335,2770.59375,14224.352083333335,40057.064583333326,755.9868975234781,6.670269765501337,18.2216337471472,-40057.064583333326,26.204828386633245,best
2017-02-05,49745.833333333336,6409.4875,2599.65,9009.1375,40736.69583333333,747.0756411635331,6.424761249221152,19.128942350022747,-40736.69583333333,18.1103358740263,best
2017-02-06,63050.041666666664,8239.725,1607.2875,9847.0125,53203.02916666666,781.2359470769408,7.248572690787466,18.395947255108055,-53203.02916666666,15.617773184130861,best
2017-02-07,65301.458333333336,14327.841666666667,1646.49375,15974.335416666667,49327.12291666667,773.7624187771197,7.290752947360345,19.319276829962835,-49327.12291666667,24.46244819698386,best
2017-02-08,65569.125,11899.333333333334,1743.46875,13642.802083333334,51926.322916666664,776.4124529849377,6.746410883021087,19.866095071437854,-51926.322916666664,20.806747205080644,best
2017-02-09,65939.20833333333,11241.5875,2546.83125,13788.41875,52150.78958333333,780.5487339137711,7.247340758715583,19.38318145235215,-52150.78958333333,20.910804206652468,best
2017-02-10,65329.333333333336,15760.170833333335,1906.9312500000003,17667.102083333335,47662.23125,772.1465935694114,7.211034565307796,19.047520855023837,-47662.23125,27.04313848296835,best
2017-02-11,55742.541666666664,17855.9875,3171.99375,21027.98125,34714.56041666666,783.8489628289918,6.661276305099371,19.93105096917413,-34714.56041666666,37.72339872075562,best
2017-02-12,51639.541666666664,18973.175,2118.76875,21091.94375,30547.597916666666,791.7501507250405,7.312552093545523,19.679471065465343,-30547.597916666666,40.84456032965694,best
2017-02-13,65044.5,18318.3,5038.931250000001,23357.23125,41687.26875,787.7505471657496,7.160830252942379,20.137637884695202,-41687.26875,35.90961764638055,best
2017-02-14,64898.291666666664,11108.825,6203.53125,17312.35625,47585.93541666666,788.520012749832,7.025691519411012,19.94466159055132,-47585.93541666666,26.676135542859054,best
2017-02-15,64050.166666666664,5355.837500000001,6407.1,11762.9375,52287.229166666664,791.4569548874357,7.0413527891352174,20.885670489922777,-52287.229166666664,18.36519420974705,best
2017-02-16,63934.083333333336,15296.829166666666,5199.01875,20495.847916666666,43438.23541666667,798.2404158879831,7.128681236831761,20.564748214656422,-43438.23541666667,32.05778021373576,best
2017-02-17,63232.5,13827.991666666667,1768.8375,15596.829166666666,47635.67083333334,791.1529810970416,6.839145951402139,19.97863223633607,-47635.67083333334,24.66584298686066,best
2017-02-18,53578.375,8675.441666666668,1941.4125000000001,10616.854166666668,42961.52083333333,805.8733033421809,7.152332752868836,20.68778835840393,-42961.52083333333,19.81555836037705,best
2017-02-19,49923.625,18877.787500000002,3286.1812500000005,22163.968750000004,27759.656249999996,794.082057926601,6.9463388949538825,21.110216941470238,-27759.656249999996,44.39575201119711,best
2017-02-20,63835.125,35143.333333333336,1786.9500000000003,36930.28333333333,26904.841666666667,807.1547553020122,7.075789278319742,21.483574754234052,-26904.841666666667,57.85260596471509,best
2017-02-21,64140.791666666664,31466.55416666667,2010.7125000000003,33477.26666666667,30663.524999999994,824.0765983111111,7.906977349070765,20.672712524137584,-30663.524999999994,52.193410459672386,best
2017-02-22,65204.25,44756.45416666666,1421.5500000000002,46178.004166666666,19026.245833333334,831.8974730530398,7.482876212446166,21.08038892203582,-19026.245833333334,70.82054339504967,best
2017-02-23,64217.5,38209.4375,2853.05625,41062.49375,23155.00625,808.7230912228373,7.4938870825412955,20.997268646219595,-23155.00625,63.94284073655935,best
2017-02-24,62280.916666666664,28280.795833333334,3968.1562500000005,32248.952083333334,30031.96458333333,830.7511088523697,7.778831669765285,21.23783960820173,-30031.96458333333,51.779828893548185,best
2017-02-25,53066.416666666664,22412.541666666668,5488.875000000001,27901.416666666668,25164.999999999996,807.2277702653979,7.87279875555743,21.700436932596528,-25164.999999999996,52.57829418166229,best
2017-02-26,48424.166666666664,29528.525,3343.9500000000003,32872.475,15551.691666666666,822.9558820455773,7.119614295143141,21.56091668038518,-15551.691666666666,67.88444130857526,best
2017-02-27,59735.208333333336,30246.99166666667,4859.606250000001,35106.597916666666,24628.61041666667,802.9790816584294,6.9765089747462135,20.91229262348158,-24628.61041666667,58.770361560916406,best
